Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-001514,Alcohol Violation,10/28/17 1324,10/28/17 1324,10/28/17 1324,Lot G2,Arrest
17-001516,Alcohol Violation,10/28/17 1326,10/28/17 1326,10/28/17 1326,Lot G2,Arrest
17-001513,Alcohol Violation,10/28/17 1327,10/28/17 1327,10/28/17 1327,Lot G2,Arrest
17-001515,Alcohol Violation,10/28/17 1330,10/28/17 1330,10/28/17 1330,Lot G2,Arrest
17-001517,Alcohol Violation,10/28/17 1347,10/28/17 1347,10/28/17 1347,Lot G2,Arrest
17-001519,Alcohol Violation,10/28/17 1401,10/28/17 1401,10/28/17 1401,Jack Trice Football Stadium,Arrest
17-001521,Alcohol Violation,10/28/17 1405,10/28/17 1405,10/28/17 1405,Lot G3,Arrest
17-001520,Alcohol Violation,10/28/17 1415,10/28/17 1415,10/28/17 1415,Lot G3,Arrest
17-001522,Alcohol Violation,10/28/17 1427,10/28/17 1427,10/28/17 1427,Lot G3,Arrest
17-001524,Alcohol Violation,10/28/17 1442,10/28/17 1442,10/28/17 1442,Jack Trice Football Stadium,Arrest
17-001523,Alcohol Violation,10/28/17 1448,10/28/17 1448,10/28/17 1448,Jack Trice Football Stadium,Arrest
17-001526,Alcohol Violation,10/28/17 1453,10/28/17 1453,10/28/17 1453,South 16th Street and University Boulevard,Arrest
17-001525,Public Intoxication,10/28/17 1454,10/28/17 1454,10/28/17 1454,Lot G3,Arrest
17-001527,Alcohol Violation,10/28/17 1517,10/28/17 1517,10/28/17 1517,Lot G3,Arrest
17-001529,Alcohol Violation,10/28/17 1521,10/28/17 1521,10/28/17 1521,Lot G3,Arrest
17-001530,Public Intoxication,10/28/17 1534,10/28/17 1534,10/28/17 1534,Lot G3,Open
17-001531,Alcohol Violation,10/28/17 1543,10/28/17 1543,10/28/17 1543,Lot G3,Arrest
17-001532,Alcohol Violation,10/28/17 1600,10/28/17 1600,10/28/17 1600,Lot G3,Arrest
17-001533,Public Intoxication / Unlawful Use of License,10/28/17 1634,10/28/17 1634,10/28/17 1634,Jack Trice Football Stadium,Arrest
17-001534,Public Intoxication,10/28/17 1703,10/28/17 1703,10/28/17 1703,Jack Trice Football Stadium,Arrest
17-001535,Public Intoxication,10/28/17 1918,10/28/17 1918,10/28/17 1918,Arboretum,Arrest
17-001536,Criminal Trespass,10/28/17 2307,10/28/17 2307,10/28/17 2307,Wilson Hall,Arrest
17-001537,Alcohol Violation / Unlawful Use of License,10/29/17 0055,10/29/17 0055,10/29/17 0055,Lincoln Way and Marshall Avenue,Arrest
17-001538,Operating while Intoxicated,10/29/17 0207,10/29/17 0207,10/29/17 0207,Storm Street and Welch Avenue,Arrest
17-001539,Driving Violation,10/29/17 0223,10/29/17 0223,10/29/17 0223,South 4th Street and South Grand Avenue,Arrest
17-001540,Public Intoxication / Drug Violation,10/29/17 0252,10/29/17 0252,10/29/17 0252,33 Frederiksen Court,Arrest
17-001541,Operating while Intoxicated/ Alcohol Violation,10/29/17 0329,10/29/17 0329,10/29/17 0329,Campus Avenue and Lincoln Way,Arrest
17-001542,Public Intoxication,10/29/17 0359,10/29/17 0359,10/29/17 0359,2311 Chamberlain Street,Arrest
17-001543,Burglary to Motor Vehicle,10/29/17 0410,10/29/17 0410,10/29/17 0410,Lot 79,Arrest
17-001545,Theft,10/29/17 1542,10/29/17 1542,10/29/17 1542,4130 Maricopa Drive,Open
17-001548,Theft,10/30/17 1417,10/30/17 0000,10/30/17 1417,Geoffroy Hall,Recovered
17-001547,Harassment,10/30/17 1509,10/30/17 1509,10/30/17 1509,Eaton Hall,Open
17-001552,Sexual Assault,10/31/17 1629,10/20/17 0000,10/31/17 1629,Friley Hall,Open
17-001554,Driving Violation,11/01/17 0237,11/01/17 0237,11/01/17 0237,Lot B5,Open
17-001555,Vandalism,11/01/17 1101,11/01/17 1101,11/01/17 1101,Friley Hall,Open
17-001557,Drug Violation,11/01/17 1631,11/01/17 1631,11/01/17 1631,Armory Building,Open
17-001558,Drug Violation / Alcohol Violation,11/01/17 1845,11/01/17 1845,11/01/17 1845,Lot 61A,Arrest
17-001559,Public Intoxication,11/02/17 0134,11/02/17 0134,11/02/17 0134,Chamberlain Street and Stanton Avenue,Arrest
17-001561,Harassment,11/02/17 0953,11/02/17 0953,11/02/17 0953,Beyer Hall,Open
17-001560,Assault,11/02/17 1000,11/02/17 1000,11/02/17 1000,Sheldon Avenue and West Street,Open
17-001562,Theft,11/02/17 1005,11/02/17 0000,11/02/17 1005,Eaton Hall,Open
17-001563,Alcohol Violation,11/02/17 2101,11/02/17 2101,11/02/17 2101,South 4th Street and University Boulevard,Arrest
17-001564,Drug Violation,11/02/17 2330,11/02/17 2330,11/03/17 2342,Elm Hall,Arrest
17-001565,Operating while Intoxicated / Drug Violation,11/03/17 0154,11/03/17 0154,11/03/17 0154,Mortensen Road and Seagrave Boulevard,Arrest
17-001569,Disorderly Conduct,11/03/17 1222,11/03/17 1222,11/03/17 1222,Hub,Arrest
17-001570,Assault,11/03/17 1447,11/03/17 1447,11/03/17 1447,Jack Trice Football Stadium,Open
17-001571,Theft,11/03/17 1534,11/03/17 1534,11/03/17 1534,Parks Library,Open
17-001573,Public Intoxication,11/04/17 0040,11/04/17 0040,11/04/17 0040,Hayward Avenue and Lincoln Way,Arrest
17-001574,Hit and Run,11/04/17 0157,11/04/17 0157,11/04/17 0157,Ames Intermodel Facility,Open
17/001575,Operating while Intoxicated,11/04/17 0245,11/04/17 0245,11/04/17 0245,Beach Avenue and Lincoln Way,Arrest
17-001576,Operating while Intoxicated,11/04/17 0305,11/04/17 0305,11/04/17 0305,Lincoln Way and Marshall Avenue,Arrest
17-001578,Disorderly Conduct,11/04/17 0603,11/04/17 0603,11/04/17 0603,36 Frederiksen Court,Arrest
17-001579,Theft,11/04/17 1937,11/04/17 1937,11/04/17 1937,Friley Hall,Open
17-001580,Public Intoxication,11/05/17 0053,11/05/17 0053,11/05/17 0053,Memorial Union,Arrest
17-001581,Operating while Intoxicated,11/05/17 0105,11/05/17 0105,11/05/17 0105,Lincoln Way and South Oak Avenue,Arrest
17-001582,Harassment,11/05/17 1408,11/05/17 1408,11/05/17 1408,Armory Building,Open
17-001583,Theft,11/06/17 0111,11/06/17 0111,11/06/17 0111,University Village Laundry,Open
17-001584,Drug Violation,11/06/17 1101,11/06/17 1101,11/06/17 1101,Armory Building,Open
17-001585,Theft,11/06/17 1353,11/06/17 1353,11/06/17 1353,Parks Library,Open
17-001586,Theft,11/06/17 1610,11/06/17 1610,11/06/17 1610,Memorial Union,Open
17-001587,Drug Violation/Alcohol Violation,11/06/17 1928,11/06/17 1928,11/06/17 1928,Linden Hall,Arrest
17-001589,Operating while Intoxicated,11/08/17 0243,11/08/17 0243,11/08/17 0243,Beach Avenue and Lincoln Way,Arrest
17-001590,Driving Violation,11/08/17 2043,11/08/17 2043,11/08/17 2043,Lincoln Way and Morrill Road,Arrest
17-001591,Drug Violation,11/08/17 2107,11/08/17 2107,11/08/17 2107,Armory Building,Open
17-001592,Public Intoxication,11/09/17 0227,11/09/17 0227,11/09/17 0227,Ash Avenue and Mortensen Parkway,Arrest
17-001593,Public Intoxication,11/09/17 0319,11/09/17 0319,11/09/17 0319,Memorial Union,Arrest
17-001594,Sexual Assault,11/09/17 1048,02/28/17 0000,11/09/17 1048,Armory Building,Open
17-001595,Hit and Run,11/09/17 1415,11/09/17 1415,11/09/17 1415,Lot 112J,Open
17-001599,Operating while Intoxicated,11/10/17 0201,11/10/17 0201,11/10/17 0201,Hyand Avenue and West Street,Arrest
17-001600,Public Intoxication,11/10/17 0232,11/10/17 0232,11/10/17 0232,Chamberlain Street and Stanton Avenue,Arrest
17-001601,Theft,11/10/17 1034,11/10/17 1034,11/10/17 1034,Kildee Hall,Open
17-001602,Theft,11/10/17 1112,11/10/17 1112,11/10/17 1112,Sweeney Hall,Open
17-001603,Theft,11/10/17 1238,11/10/17 1238,11/10/17 1238,Lot 112G,Open
17-001605,Harassment,11/10/17 1636,11/10/17 1636,11/10/17 1636,Maple Hall,Open
17-001606,Operating while Intoxicated,11/11/17 0126,11/11/17 0126,11/11/17 0126,Center Drive and University Boulevard,Arrest
17-001607,Operating while Intoxicated,11/11/17 0128,11/11/17 0128,11/11/17 0128,Lincoln Way and University Boulevard,Arrest
17-001608,Vandalism / Disorderly Conduct,11/11/17 0322,11/11/17 0322,11/11/17 0322,13 Frederiksen Court,Arrest
17-001609,Operating while Intoxicated,11/11/17 0346,11/11/17 0346,11/11/17 0346,Lincoln Way and Morrill Road,Arrest
17-001615,Vandalism,11/11/17 0701,11/11/17 0701,11/11/17 0701,Lot 1,Open
17-001610,Alcohol Violation,11/11/17 0915,11/11/17 0915,11/11/17 0915,Lot G3,Arrest
17-001611,Alcohol Violation,11/11/17 0939,11/11/17 0939,11/11/17 0939,Lot G3,Arrest
17-001612,Alcohol Violation,11/11/17 0953,11/11/17 0953,11/11/17 0953,Lot G3,Arrest
17-001613,Alcohol Violation,11/11/17 1003,11/11/17 1003,11/11/17 1003,Lot G3,Arrest
17-001614,Alcohol Violation,11/11/17 1015,11/11/17 1015,11/11/17 1015,Lot G3,Arrest
17-001616,Alcohol Violation,11/11/17 1039,11/11/17 1039,11/11/17 1039,Lot G3,Arrest
17-001617,Alcohol Violation,11/11/17 1041,11/11/17 1041,11/11/17 1041,Lot G3,Arrest
17-001618,Alcohol Violation,11/11/17 1052,11/11/17 1052,11/11/17 1052,Jack Trice Football Stadium,Arrest
17-001619,Alcohol Violation,11/11/17 1052,11/11/17 1052,11/11/17 1052,Jack Trice Football Stadium,Arrest
17-001621,Alcohol Violation,11/11/17 1056,11/11/17 1056,11/11/17 1056,Jack Trice Football Stadium,Arrest
17-001620,Alcohol Violation,11/11/17 1058,11/11/17 1058,11/11/17 1058,Lot G3,Arrest
17-001622,Alcohol Violation,11/11/17 1110,11/11/17 1110,11/11/17 1110,Lot G3,Arrest
17-001623,Alcohol Violation,11/11/17 1117,11/11/17 1117,11/11/17 1117,Lot G3,Arrest
17-001624,Alcohol Violation,11/11/17 1123,11/11/17 1123,11/11/17 1123,Lot G3,Arrest
17-001625,Alcohol Violation / Unlawful Use of License,11/11/17 1138,11/11/17 1138,11/11/17 1138,Lot G3,Arrest
17-001626,Public Intoxication,11/11/17 1325,11/11/17 1325,11/11/17 1325,Lot G2,Arrest
17-001627,Public Intoxication,11/11/17 1433,11/11/17 1433,11/11/17 1433,SE Intramural Fields,Arrest
17-001628,Public Intoxication / Alcohol Violation,11/11/17 1522,11/11/17 1522,11/11/17 1522,Jack Trice Football Stadium,Arrest
17-001629,Hit and Run,11/11/17 1800,11/11/17 1800,11/11/17 1800,Lot S5,Open
17-001630,Reckless Use of Fire,11/11/17 1811,11/11/17 1811,11/11/17 1811,SE Intramural Fields,Arrest
17-001631,Driving Violation,11/12/17 0045,11/12/17 0045,11/12/17 0045,Greensboro Drive and Stange Road,Arrest
17-001632,Public Intoxication,11/12/17 0144,11/12/17 0144,11/12/17 0144,Union Drive Community Center,Arrest
17-001634,Hit and Run,11/13/17 1500,11/13/17 1500,11/13/17 1500,Memorial Union Parking Ramp,Open
17-001635,Public Intoxication / Alcohol Violation / False Driver's License,11/13/17 1611,11/13/17 1611,11/13/17 1611,Pearson Hall,Arrest
17-001636,Theft,11/13/17 1817,11/13/17 1817,11/15/17 1623,MWL Commons,Arrest
17-001637,Vandalism,11/13/17 2037,11/13/17 2037,11/13/17 2037,Memorial Union Parking Ramp,Open
17-001638,Drug Violation,11/13/17 2244,11/13/17 2244,11/13/17 2244,Mortensen Road and State Avenue,Arrest
17-001640,Fraud,11/14/17 1121,11/14/17 1121,11/14/17 1121,Eaton Hall,Open
17-001641,Theft,11/14/17 1354,11/14/17 1354,11/14/17 1354,119 Stanton Avenue,Open
17-001643,Disorderly Conduct,11/15/17 0032,11/15/17 0032,11/15/17 0032,Larch Hall,Open
17-001644,Harassment,11/15/17 1315,11/15/17 1315,11/15/17 1315,Armory Building,Open
17-001646,Public Intoxication / Assault,11/15/17 2317,11/15/17 2317,11/15/17 2317,Helser Hall,Arrest
17-001647,Disorderly Conduct,11/17/17 0202,11/17/17 0202,11/17/17 0202,Foutainview Apartments,Open
17-001647,Disorderly Conduct / Burglary,11/17/17 0202,11/17/17 0202,11/17/17 0202,Foutainview Apartments,Open
17-001648,Vandalism,11/17/17 0800,11/17/17 0800,11/17/17 0800,Ames Intermodel Facility,Open
17-001649,Theft,11/17/17 1114,11/17/17 1114,11/17/17 1114,Eaton Hall,Open
17-001650,Operating while Intoxicated,11/17/17 1703,11/17/17 1703,11/17/17 1703,Stange Road and Veenker Drive,Arrest
17-001653,Trespass,11/18/17 1536,11/18/17 1536,11/18/17 1536,Arboretum,Open
17-001655,Drug Violation,11/19/17 0142,11/19/17 0142,11/19/17 0142,Coconino Road and Mortensen Road,Arrest
17-001657,Theft,11/19/17 1303,11/19/17 1303,11/19/17 1303,Geoffroy Hall,Open
17-001658,Theft,11/20/17 0416,NA,11/20/17 0416,Lot 1,Open
17-001659,Driving Violation,11/20/17 1425,11/20/17 1425,11/20/17 1425,Haber Road and North University Boulevard,Arrest
17-001662,Vandalism,11/21/17 0721,NA,11/21/17 0721,520 Morrill Road,Open
17-001663,Drug Violation,11/21/17 1732,11/21/17 1732,11/21/17 1732,Armory Building,Open
17-001664,Theft,11/21/17 2135,11/21/17 2135,11/21/17 2135,Bissell Road and Osborn Drive,Open
17-001670,Vandalism / Public Intoxication,11/28/17 0252,11/28/17 0252,11/28/17 0252,Geoffroy Hall,Arrest
17-001672,Drug Violation,11/28/17 1539,11/28/17 1539,11/28/17 1539,Armory Building,Open
17-001680,Public Intoxication,11/30/17 0149,11/30/17 0149,11/30/17 0149,Hunt Street and Welch Avenue,Arrest
17-001681,Driving Violation,11/30/17 0428,11/30/17 0428,11/30/17 0428,2700 blk South Dakota Avenue,Arrest
17-001684,Public Intoxication,11/30/17 1016,11/30/17 1016,11/30/17 1016,Horticulture Hall,Arrest
17-001685,Theft,11/30/17 1224,11/30/17 1224,11/30/17 1224,36 Schilletter Village,Open
17-001687,Alcohol Violation,12/02/17 0011,12/02/17 0011,12/02/17 0011,119 Stanton Avenue,Arrest
17-001688,Hit and Run,12/02/17 0043,NA,12/02/17 0043,Lot 91,Open
17-001693,Theft,12/02/17 1651,12/02/17 0000,12/02/17 1651,King Pavilion,Open
17-001694,Theft,12/02/17 1934,12/02/17 0000,12/02/17 1934,Memorial Union,Open
17-001695,Public Intoxication,12/03/17 0207,12/03/17 0207,12/03/17 0207,Storm Street and Welch Avenue,Arrest
17-001696,Drug Violation,12/03/17 0219,12/03/17 0219,12/03/17 0219,Lot 59F,Arrest
17-001697,Operating while Intoxicated / Driving Violation,12/04/17 0037,12/04/17 0037,12/04/17 0037,Lincoln Way and North Riverside Drive,Arrest
17-001698,Harassment,12/05/17 0858,12/05/17 0858,12/05/17 0858,Willow Hall,Open
17-001699,Assault,12/05/17 1349,12/05/17 1349,12/05/17 1349,Science II,Open
17-001700,Theft,12/05/17 1446,12/05/17 0000,12/07/17 0000,Curtiss Hall,Recovered
17-001701,Drug Violation,12/05/17 1642,12/05/17 1642,12/05/17 1642,Armory Building,Open
17-001702,Harassment,12/05/17 1722,12/05/17 1722,12/05/17 1722,62 Frederiksen Court,Open
17-001703,Hit and Run,12/06/17 1226,12/06/17 0000,12/06/17 1226,Lot 28,Open
17-001704,Theft,12/06/17 1352,12/06/17 0000,12/06/17 1352,Armory Building,Open
17-001705,Harassment,12/06/17 1354,12/06/17 1354,12/06/17 1354,Armory Building,Open
17-001706,Drug Violation,12/06/17 1519,12/06/17 1519,12/06/17 1519,Armory Building,Open
17-001707,Drug Violation,12/06/17 1520,12/06/17 1520,12/06/17 1520,Armory Building,Open
17-001708,Hit and Run,12/06/17 1716,12/06/17 1716,12/06/17 1716,ISU C Drive and University Boulevard,Open
17-001709,Public Intoxication,12/07/17 0204,12/07/17 0204,12/07/17 0204,Mortensen Road and State Avenue,Arrest
17-001710,Public Intoxication,12/08/17 0049,12/08/17 0049,12/08/17 0049,Arbor Street and State Avenue,Arrest
17-001714,Vandalism,12/08/17 2122,12/08/17 0000,12/08/17 2122,Lot 61B,Open
17-001715,Harassment,12/09/17 0002,12/09/17 0002,12/09/17 0002,Geoffroy Hall,Open
17-001716,Operating while Intoxicated / Drug Violation,12/09/17 0127,12/09/17 0127,12/09/17 0127,Hayward Avenue and Storm Street,Arrest
17-001718,Public Intoxication / Alcohol Violation,12/09/17 0239,12/09/17 0239,12/09/17 0239,Mortensen Road and State Avenue,Arrest
17-001719,Theft,12/09/17 1711,12/09/17 1711,12/09/17 0000,State Gymnasium,Unfounded
17-001720,Alcohol Violation,12/09/17 2039,12/09/17 2039,12/09/17 2039,Chamberlain Street and Welch Avenue,Arrest
17-001722,Drug Violation / Weapon Violation / Obstruction of Prosecution,12/10/17 0042,12/10/17 0042,12/10/17 0042,Lincoln Way and State Avenue,Arrest
17-001723,Driving Violation,12/10/17 0203,12/10/17 0203,12/10/17 0203,Hickory Drive and Lincoln Way,Arrest
17-001724,Operating While Intoxicated,12/10/17 0203,12/10/17 0203,12/10/17 0203,Coconino Road and Mortensen Road,Arrest
17-001725,Drug Violation / Driving Violation,12/10/17 0257,12/10/17 0257,12/10/17 0257,Ash Avenue and Lincoln Way,Arrest
17-001726,Operating while Intoxicated / Drug Violation / Driving Violation,12/10/17 0341,12/10/17 0341,12/10/17 0341,Lincoln Way and Lynn Avenue,Arrest
17-001727,Drug Violation,12/11/17 2045,12/11/17 2045,12/11/17 2045,Linden Hall,Arrest
17-001728,Drug Violation,12/12/17 0120,12/12/17 0120,12/12/17 0120,Northridge Lane and Northridge Parkway,Arrest
17-001729,Harassment,12/12/17 0257,12/12/17 0257,12/12/17 0257,Friley Hall,Open
17-001730,Theft,12/12/17 1953,12/12/17 0000,12/12/17 1953,State Gymnasium,Open
17-001732,Drug Violation,12/12/17 2310,12/12/17 2310,12/12/17 2310,Friley Hall,Open
17-001733,Theft,12/13/17 0741,12/13/17 0741,12/13/17 0741,Parks Library,Open
17-001735,Vandalism,12/13/17 0911,12/13/17 0000,12/13/17 0911,Hoover Hall,Open
17-001738,Operating while Intoxicated,12/14/17 0156,12/14/17 0156,12/14/17 0156,Oakwood Road and State Avenue,Arrest
17-001739,Operating while Intoxicated,12/14/17 0325,12/14/17 0325,12/14/17 0325,Lot 112D,Arrest
17-001741,Driving Violation,12/14/17 1322,12/14/17 1322,12/14/17 1322,Hyland Avenue and Lincoln Way,Arrest
17-001742,Theft,12/14/17 1733,12/14/17 1733,12/14/17 1733,Armory Building,Open
17-001745,Theft,12/15/17 1148,12/15/17 1148,12/15/17 1148,State Gymnasium,Arrest
17-001747,Drug Violation,12/15/17 1401,12/15/17 1401,12/15/17 1401,Birch Hall,Arrest
17-001748,Theft,12/15/17 1435,NA,12/15/17 1435,Memorial Union,Open
17-001749,Drug Violation,12/15/17 1923,12/15/17 1923,12/15/17 1923,Armory Building,Open
17-001750,Theft,12/16/17 0948,12/16/17 0948,01/12/18 0948,2229 Lincoln Way,Arrest
17-001752,Public Intoxication,12/17/17 0225,12/17/17 0225,12/17/17 0225,Gable Lane and Gray Avenue,Arrest
17-001756,Theft,12/18/17 1137,NA,12/18/17 1137,72 Frederiksen Court,Open
17-001757,Drug Violation,12/18/17 1418,12/18/17 1418,12/18/17 1418,Armory Building,Open
17-001758,Drug Violation,12/18/17 2014,12/18/17 2014,12/18/17 2014,Armory Building,Open
17-001763,Drug Violation,12/21/17 1652,12/21/17 1652,12/21/17 1652,Armory Building,Open
17-001765,Harassment,12/22/17 0934,12/22/17 0934,12/22/17 0934,Dairy Farm,Open
17-001767,Driving Violation,12/23/17 0217,12/23/17 0217,12/23/17 0217,24th Street and Edenburn Drive,Arrest
17-001768,Operating while Intoxicated,12/23/17 0316,12/23/17 0316,12/23/17 0316,Lincoln Way and Marshall Avenue,Arrest
17-001769,Vandalism,12/23/17 1237,12/23/17 1237,12/23/17 1237,Lot 61B,Open
17-001770,Theft,12/24/17 0039,12/24/17 0039,12/24/17 0039,2147 Union Drive,Open
17-001771,Theft,12/27/17 0851,12/27/17 0851,12/27/17 0851,36 Frederiksen Court,Open
17-001772,Alcohol Violation,12/28/17 0134,12/28/17 0134,12/28/17 0134,Hayward Avenue and Lincoln Way,Arrest
17-001774,Vandalism,12/28/17 2014,12/28/17 2014,12/28/17 2014,SE Intramural Fields,Open
17-001776,Operating while Intoxicated,12/31/17 0158,12/31/17 0158,12/31/17 0158,Lincoln Way and Marshall Avenue,Arrest
17-001777,Hit and Run,12/31/17 1639,12/31/17 1639,12/31/17 1639,13th Street and Stange Road,Open
17-001780,Public Intoxication,12/31/17 2156,12/31/17 2156,12/31/17 2156,Sheldon Avenue and Union Drive,Arrest
18-000006,Drug Violation,01/03/18 2039,01/03/18 2039,01/03/18 2039,142 University Village,Open
18-000007,Hit and Run,01/04/18 1632,01/04/18 0000,01/04/18 1632,Lot 100,Open
18-000008,Driving Violation,01/05/18 1116,01/05/18 1116,01/05/18 1116,Big Bluestem Ct. and Mortensen Parkway,Cited
18-000009,Theft,01/05/18 1238,01/05/18 0000,01/05/18 1238,4020 Maricopa Drive,Open
18-000010,Hit and Run,01/05/18 1837,NA,01/05/18 1837,Lot 1,Open
18-000011,Drug Violation,01/05/18 1904,01/05/18 1904,01/05/18 1904,Friley Hall,Arrest
18-000012,Operating while Intoxicated,01/06/18 0203,01/06/18 0203,01/06/18 0203,13th Street and Stange Road,Arrest
18-000014,Driving Violation,01/06/18 2250,01/06/18 2250,01/06/18 2250,24th Street and Stange Road,Cited
18-000015,Operating while Intoxicated,01/07/18 0211,01/07/18 0211,01/07/18 0211,Lincoln Way and Marshall Avenue,Arrest
18-000017,Burglary,01/07/18 2012,NA,01/07/18 2012,4110 Maricopa Drive,Open
18-000019,Burglary,01/07/18 2109,NA,01/07/18 2109,Welch Hall,Open
18-000020,Harassment,01/08/18 1055,NA,01/08/18 1055,Student Services Building,Open
18-000021,Drug Violation/Driving Violation /Felon Possession of Firearm,01/08/18 1514,01/08/18 1514,01/08/18 1514,809 Wheeler Street,Arrest
18-000021,Drug Violation/Driving Violation /Felon Possession of Firearm,01/08/18 1514,01/08/18 1514,01/08/18 1514,809 Wheeler Street,Arrest
18-000022,Driving Violation,01/09/18 0106,01/09/18 0106,01/09/18 0106,1030 Haber Road,Cited
18-000024,Theft,01/09/18 1247,NA,01/12/18 1247,2229 Lincoln Way,Arrest
18-000025,Vandalism,01/09/18 1821,01/09/18 1821,01/09/18 1821,Memorial Union Parking Ramp,Open
18-000026,Vandalism,01/09/18 1833,NA,01/09/18 1833,Lot 112J,Open
18-000027,Domestic Assault,01/09/18 2323,01/09/18 2323,01/09/18 2323,24 Frederiksen Court,Arrest
18-000028,Driving Violation,01/10/18 0119,01/10/18 0119,01/10/18 0119,Coy Street and South Franklin Avenue,Cited
18-000031,Drug Violation/Driving Violation,01/10/18 1616,01/10/18 1616,01/10/18 1616,Lot 79,Arrest
18-000032,Public Intoxication,01/10/18 2312,01/10/18 2312,01/10/18 2312,Linden Hall,Arrest
18-000034,Drug Violation,01/11/18 0933,01/11/18 0933,01/11/18 0933,Armory Building,Open
18-000035,Vandalism,01/11/18 1233,NA,01/11/18 1233,Lot 112C,Open
18-000036,Unlawful Use of License,01/11/18 1517,01/11/18 1517,01/11/18 1517,Armory Building,Cited
18-000037,Theft,01/11/18 2121,NA,01/11/18 2121,Larch Hall,Open
18-000039,Operating while Intoxicated,01/12/18 0152,01/12/18 0152,01/12/18 0152,2915 Lincoln Way,Arrest
18-000041,Alcohol Violation,01/12/18 2121,01/12/18 2121,01/12/18 2121,Friley Hall,Cited
18-000042,Drug Violation,01/12/18 2233,01/12/18 2233,01/12/18 2233,Lot 63,Arrest
18-000043,Vandalism,01/13/18 0212,01/13/18 0212,01/13/18 0212,Memorial Union Parking Ramp,Open
18-000044,Vandalism,01/13/18 1254,NA,01/13/18 1254,Ames Intermodal Facility,Open
18-000046,Vandalism,01/13/18 1603,NA,01/13/18 1603,Lot 17,Open
18-000047,Drug Violation/Alchol Violation/ Public Intoxication / Unlawful Use of License,01/13/18 2254,01/13/18 2254,01/13/18 2254,Lot 63,Arrest
18-000049,Operating while Intoxicated / Driving Violations,01/14/18 0206,01/14/18 0206,01/14/18 0206,Lincoln Way and Sheldon Avenue,Arrest
18-000051,Operating while Intoxicated,01/14/18 2135,01/14/18 2135,01/14/18 2135,Haber Road and North University Boulevard,Arrest
18-000053,Theft,01/15/18 1137,01/15/18 0000,01/15/18 1137,142 University Village,Open
18-000054,Theft,01/15/18 1335,01/15/18 0000,01/15/18 1335,102 University Village,Open
18-000055,Drug Violation,01/15/18 1355,01/15/18 1355,01/15/18 1355,Friley Hall,Open
18-000057,Drug Violation/Alcohol Violation,01/15/18 2314,01/15/18 2314,01/15/18 2314,Friley Hall,Arrest
18-000058,Theft,01/16/18 0835,NA,01/16/18 0835,Enrollment Services Center,Open
18-000060,Hit and Run,01/16/18 1604,NA,01/16/18 1604,Lot 63,Open
18-000062,Theft,01/16/18 1924,01/16/18 1924,01/16/18 1924,2500 block Osborn Drive,Recovered
18-000064,Theft,01/17/18 1219,NA,01/17/18 1219,Lot 50B,Open
18-000065,Hit and Run,01/17/18 1259,NA,01/17/18 1259,200 University Village,Open
18-000068,Driving Violation,01/18/18 0225,01/18/18 0225,01/18/18 0225,Lincoln Way and Sheldon Avenue,Arrest
18-000069,Operating while Intoxicated,01/18/18 0251,01/18/18 0251,01/18/18 0251,Hyland Avenue and Lincoln Way,Arrest
18-000071,Harassment,01/18/18 1740,01/18/18 1740,01/18/18 1740,Memorial Union,Open
18-000074,Harassment,01/19/18 1132,01/19/18 1132,01/19/18 1132,3906 Maricopa Drive,Open
18-000075,Drug Violation/Alcohol Violation,01/19/18 2150,01/19/18 2150,01/19/18 2150,Helser Hall,Arrest
18-000078,Operating while Intoxicated / Drug Violation / Alcohol Violation,01/20/18 0115,01/20/18 0115,01/20/18 0115,Beach Avenue and Greeley Street,Arrest
18-000077,Operating while Intoxicated,01/20/18 0207,01/20/18 0207,01/20/18 0207,Arbor Street and South Hyland Avenue,Arrest
18-000082,Harassment,01/20/18 1318,01/20/18 1318,01/20/18 1318,Linden Hall,Open
18-000083,Theft,01/20/18 1432,NA,01/20/18 1432,Pearson Hall,Open
18-000079,Burglary,01/20/18 1634,NA,01/20/18 1634,119 Stanton Avenue,Open
18-000079,Assault / Vandalism / Criminal Trespass / Interference,01/20/18 1634,NA,01/30/18 0000,119 Stanton Avenue,Arrest
18-000080,Drug Violation/Alcohol Violation,01/20/18 1904,01/20/18 1904,01/20/18 1904,Southwest Recreation Complex,Arrest
18-000095,Sexual Assault,01/22/18 0000,01/22/18 0000,01/22/18 0000,University Village,Open
18-000086,Theft,01/22/18 1214,NA,01/22/18 1214,2229 Lincoln Way,Open
18-000098,Fraud,01/22/18 1335,01/22/18 1335,01/22/18 1335,Coover Hall,Open
18-000088,Theft,01/22/18 1644,NA,01/22/18 1644,24 Frederiksen Court,Open
18-000091,Drug Violation,01/22/18 1925,01/22/18 1925,01/22/18 1925,Birch Hall,Open
18-000089,Vandalism,01/22/18 1935,01/22/18 1935,01/22/18 1935,Memorial Union Parking Ramp,Open
18-000090,Vandalism,01/22/18 2014,01/22/18 2014,01/22/18 2014,Memorial Union Parking Ramp,Open
18-000096,Hit and Run,01/23/18 0000,01/12/18 1414,01/23/18 0000,Memorial Union Parking Ramp,Open
18-000092,Operating while Intoxicated / Driving Violation,01/23/18 0020,01/23/18 0020,01/23/18 0020,Sheldon Avenue and Sheldon Avenue Ext.,Arrest
