date,time,icon,wind,temp_low,temp_high,weather
2017-02-13,12 pm,6,12,45,52,Partly sunny.
2017-02-13,6 pm,14,7,36,43,Passing clouds.
2017-02-14,12 am,14,7,30,34,Passing clouds.
2017-02-14,6 am,6,11,30,46,Partly sunny.
2017-02-14,12 pm,6,16,45,52,Partly sunny.
2017-02-14,6 pm,13,16,36,43,Clear.
2017-02-15,12 am,13,9,25,34,Clear.
2017-02-15,6 am,2,9,27,37,Passing clouds.
2017-02-15,12 pm,6,7,39,45,Partly sunny.
2017-02-15,6 pm,14,6,34,39,Passing clouds.
2017-02-16,12 am,13,9,32,34,Clear.
2017-02-16,6 am,6,9,34,54,Partly sunny.
2017-02-16,12 pm,6,9,59,64,Partly sunny.
2017-02-16,6 pm,14,5,45,55,Passing clouds.
2017-02-17,12 am,13,7,39,45,Clear.
2017-02-17,6 am,2,12,45,66,Passing clouds.
2017-02-17,12 pm,2,14,64,73,Passing clouds.
2017-02-17,6 pm,14,6,48,61,Passing clouds.
2017-02-18,12 am,13,6,36,45,Clear.
2017-02-18,6 am,2,4,36,59,Passing clouds.
2017-02-18,12 pm,2,3,61,66,Passing clouds.
2017-02-18,6 pm,14,4,43,55,Passing clouds.
2017-02-19,12 am,13,5,41,46,Clear.
2017-02-19,6 am,2,9,43,66,Passing clouds.
2017-02-19,12 pm,5,16,66,73,High level clouds.
2017-02-19,6 pm,14,11,57,63,Passing clouds.
2017-02-20,12 am,17,10,57,61,Overcast.
2017-02-20,6 am,18,12,57,61,Drizzle. Fog.
2017-02-20,12 pm,6,11,61,63,Partly sunny.
2017-02-20,6 pm,17,11,52,61,Overcast.
2017-02-21,12 am,13,7,39,50,Clear.
2017-02-21,6 am,2,4,37,61,Passing clouds.
2017-02-21,12 pm,2,11,61,68,Passing clouds.
2017-02-21,6 pm,13,9,50,57,Clear.
2017-02-22,12 am,13,10,48,52,Clear.
2017-02-22,6 am,2,15,46,72,Passing clouds.
2017-02-22,12 pm,2,17,66,72,Passing clouds.
2017-02-22,6 pm,13,12,48,64,Clear.
2017-02-23,12 am,17,14,39,46,Overcast.
2017-02-23,6 am,7,12,39,43,Overcast.
2017-02-23,12 pm,7,15,43,46,Overcast.
2017-02-23,6 pm,34,18,41,45,Drizzle. Fog.
2017-02-24,12 am,34,21,36,39,Drizzle. Fog.
2017-02-24,6 am,18,16,32,36,Drizzle. Fog.
2017-02-24,12 pm,29,17,25,32,Light snow. Ice fog.
2017-02-24,6 pm,29,16,21,25,Light snow. Ice fog.
2017-02-25,12 am,14,16,18,21,Passing clouds.
2017-02-25,6 am,2,16,18,27,Passing clouds.
2017-02-25,12 pm,6,7,28,32,Partly sunny.
2017-02-25,6 pm,17,9,28,30,Overcast.
2017-02-26,12 am,14,12,28,32,Passing clouds.
2017-02-26,6 am,2,17,28,46,Passing clouds.
2017-02-26,12 pm,2,14,41,48,Passing clouds.
2017-02-26,6 pm,14,3,30,37,Passing clouds.
2017-02-27,12 am,13,2,27,34,Clear.
2017-02-27,6 am,9,6,27,50,Fog.
2017-02-27,12 pm,6,14,54,55,Partly sunny.
2017-02-27,6 pm,17,9,46,52,Overcast.
2017-02-28,12 am,17,7,46,54,Overcast.
2017-02-28,6 am,6,9,54,64,Partly sunny.
2017-02-28,12 pm,6,9,54,63,Partly sunny.
2017-02-28,6 pm,14,15,39,48,Passing clouds.
2017-03-01,12 am,34,17,36,39,Drizzle. Fog.
2017-03-01,6 am,29,21,36,37,Light snow. Ice fog.
2017-03-01,12 pm,6,22,37,41,Partly sunny.
2017-03-01,6 pm,14,17,28,37,Passing clouds.
2017-03-02,12 am,13,5,23,27,Clear.
2017-03-02,6 am,29,6,27,36,Light snow. Ice fog.
2017-03-02,12 pm,29,12,30,37,Light snow. Ice fog.
2017-03-02,6 pm,14,9,25,30,Passing clouds.
2017-03-03,12 am,13,4,19,25,Clear.
2017-03-03,6 am,6,9,19,36,Partly sunny.
2017-03-03,12 pm,6,16,37,43,Partly sunny.
2017-03-03,6 pm,14,11,36,41,Passing clouds.
2017-03-04,12 am,13,11,30,34,Clear.
2017-03-04,6 am,2,9,30,52,Passing clouds.
2017-03-04,12 pm,6,9,57,70,Partly sunny.
2017-03-04,6 pm,13,11,52,59,Clear.
2017-03-05,12 am,13,11,46,54,Clear.
2017-03-05,6 am,6,10,46,59,Partly sunny.
2017-03-05,12 pm,7,11,57,61,Overcast.
2017-03-05,6 pm,17,16,57,61,Overcast.
2017-03-06,12 am,17,17,57,59,Overcast.
2017-03-06,6 am,7,21,59,70,Overcast.
2017-03-06,12 pm,2,27,72,77,Passing clouds.
2017-03-06,6 pm,17,16,46,72,Overcast.
2017-03-07,12 am,14,19,37,43,Passing clouds.
2017-03-07,6 am,2,14,37,54,Passing clouds.
2017-03-07,12 pm,6,19,50,55,Partly sunny.
2017-03-07,6 pm,13,13,37,52,Clear.
2017-03-08,12 am,13,7,34,37,Clear.
2017-03-08,6 am,6,12,34,52,Partly sunny.
2017-03-08,12 pm,2,12,52,55,Passing clouds.
2017-03-08,6 pm,13,7,37,46,Clear.
2017-03-09,12 am,13,9,30,36,Clear.
2017-03-09,6 am,6,11,30,43,Partly sunny.
2017-03-09,12 pm,6,16,43,48,Partly sunny.
2017-03-09,6 pm,14,15,28,39,Passing clouds.
2017-03-10,12 am,13,16,19,27,Clear.
2017-03-10,6 am,6,12,18,25,Partly sunny.
2017-03-10,12 pm,7,8,27,28,Overcast.
2017-03-10,6 pm,29,7,21,27,Light snow. Ice fog.
2017-03-11,12 am,17,6,21,21,Overcast.
2017-03-11,6 am,6,8,21,27,Partly sunny.
2017-03-11,12 pm,6,6,27,28,Partly sunny.
2017-03-11,6 pm,17,6,27,28,Overcast.
2017-03-12,12 am,17,6,25,27,Overcast.
2017-03-12,6 am,7,9,23,30,Overcast.
2017-03-12,12 pm,7,15,30,37,Overcast.
2017-03-12,6 pm,29,7,30,37,Light snow. Ice fog.
2017-03-13,12 am,29,12,30,30,Light snow. Ice fog.
2017-03-13,6 am,29,17,27,28,Light snow. Ice fog.
2017-03-13,12 pm,29,14,27,27,Light snow. Ice fog.
2017-03-13,6 pm,29,12,21,27,Light snow. Ice fog.
2017-03-14,12 am,14,7,12,19,Passing clouds.
2017-03-14,6 am,6,7,16,25,Partly sunny.
2017-03-14,12 pm,6,7,27,28,Partly sunny.
2017-03-14,6 pm,13,7,18,25,Clear.
2017-03-15,12 am,14,1,10,18,Passing clouds.
2017-03-15,6 am,2,4,10,27,Passing clouds.
2017-03-15,12 pm,6,4,28,37,Partly sunny.
2017-03-15,6 pm,17,7,34,36,Overcast.
2017-03-16,12 am,17,7,32,34,Overcast.
2017-03-16,6 am,6,13,32,45,Partly sunny.
2017-03-16,12 pm,6,17,48,55,Partly sunny.
2017-03-16,6 pm,17,13,45,52,Overcast.
2017-03-17,12 am,13,7,37,45,Clear.
2017-03-17,6 am,2,12,39,52,Passing clouds.
2017-03-17,12 pm,2,19,55,64,Passing clouds.
2017-03-17,6 pm,13,16,37,57,Clear.
2017-03-18,12 am,14,14,34,39,Passing clouds.
2017-03-18,6 am,6,13,32,43,Partly sunny.
2017-03-18,12 pm,2,8,45,54,Passing clouds.
2017-03-18,6 pm,13,6,41,52,Clear.
2017-03-19,12 am,14,9,36,39,Passing clouds.
2017-03-19,6 am,6,13,36,57,Partly sunny.
2017-03-19,12 pm,2,22,63,72,Passing clouds.
2017-03-19,6 pm,14,12,54,64,Passing clouds.
2017-03-20,12 am,14,7,46,52,Passing clouds.
2017-03-20,6 am,6,12,45,63,Partly sunny.
2017-03-20,12 pm,6,16,66,68,Partly sunny.
2017-03-20,6 pm,14,14,52,63,Passing clouds.
2017-03-21,12 am,17,11,46,50,Overcast.
2017-03-21,6 am,6,12,34,46,Partly sunny.
2017-03-21,12 pm,6,11,36,50,Partly sunny.
2017-03-21,6 pm,15,13,37,46,Partly cloudy.
2017-03-22,12 am,14,11,30,34,Passing clouds.
2017-03-22,6 am,6,13,30,39,Partly sunny.
2017-03-22,12 pm,7,12,41,46,Overcast.
2017-03-22,6 pm,14,12,43,45,Passing clouds.
2017-03-23,12 am,17,12,43,43,Overcast.
2017-03-23,6 am,7,16,43,46,Overcast.
2017-03-23,12 pm,6,18,46,57,Partly sunny.
2017-03-23,6 pm,14,11,54,55,Passing clouds.
2017-03-24,12 am,17,7,55,59,Overcast.
2017-03-24,6 am,6,7,52,64,Partly sunny.
2017-03-24,12 pm,18,7,48,52,Drizzle. Fog.
2017-03-24,6 pm,17,16,45,48,Overcast.
2017-03-25,12 am,34,15,43,45,Drizzle. Fog.
2017-03-25,6 am,18,14,39,43,Drizzle. Fog.
2017-03-25,12 pm,18,12,41,45,Drizzle. Fog.
2017-03-25,6 pm,34,9,43,45,Drizzle. Fog.
2017-03-26,12 am,34,8,43,43,Drizzle. Fog.
2017-03-26,6 am,9,7,41,45,Fog.
2017-03-26,12 pm,7,9,46,48,Overcast.
2017-03-26,6 pm,34,4,46,48,Drizzle. Fog.
2017-03-27,12 am,17,5,45,46,Overcast.
2017-03-27,6 am,7,7,43,48,Overcast.
2017-03-27,12 pm,7,7,48,52,Overcast.
2017-03-27,6 pm,17,6,48,52,Overcast.
2017-03-28,12 am,17,3,46,48,Overcast.
2017-03-28,6 am,7,4,48,50,Overcast.
2017-03-28,12 pm,7,7,52,52,Overcast.
2017-03-28,6 pm,17,7,50,52,Overcast.
2017-03-29,12 am,17,9,45,48,Overcast.
2017-03-29,6 am,18,12,43,45,Drizzle. Fog.
2017-03-29,12 pm,18,17,45,46,Drizzle. Fog.
2017-03-29,6 pm,18,19,45,45,Drizzle. Fog.
2017-03-30,12 am,17,14,43,45,Overcast.
2017-03-30,6 am,18,14,43,45,Drizzle. Fog.
2017-03-30,12 pm,18,14,43,45,Drizzle. Fog.
2017-03-30,6 pm,34,11,43,43,Drizzle. Fog.
2017-03-31,12 am,17,9,41,41,Overcast.
2017-03-31,6 am,7,11,41,45,Overcast.
2017-03-31,12 pm,7,9,45,46,Overcast.
2017-03-31,6 pm,17,7,43,45,Overcast.
2017-04-01,12 am,17,1,36,43,Overcast.
2017-04-01,6 am,6,4,37,50,Partly sunny.
2017-04-01,12 pm,6,5,52,54,Partly sunny.
2017-04-01,6 pm,17,5,50,54,Overcast.
2017-04-02,12 am,17,6,48,48,Overcast.
2017-04-02,6 am,18,8,48,50,Drizzle. Fog.
2017-04-02,12 pm,18,7,50,52,Drizzle. Fog.
2017-04-02,6 pm,9,6,52,54,Fog.
2017-04-03,12 am,14,6,48,52,Passing clouds.
2017-04-03,6 am,18,6,48,52,Drizzle. Fog.
2017-04-03,12 pm,18,10,52,54,Drizzle. Fog.
2017-04-03,6 pm,17,8,50,52,Overcast.
2017-04-04,12 am,17,9,48,50,Overcast.
2017-04-04,6 am,6,10,48,55,Partly sunny.
2017-04-04,12 pm,7,11,54,55,Overcast.
2017-04-04,6 pm,17,11,50,54,Overcast.
2017-04-05,12 am,34,12,46,50,Drizzle. Fog.
2017-04-05,6 am,19,10,43,46,Rain. Fog.
2017-04-05,12 pm,18,14,46,52,Drizzle. Fog.
2017-04-05,6 pm,17,10,45,52,Overcast.
2017-04-06,12 am,17,10,41,45,Overcast.
2017-04-06,6 am,2,12,37,52,Passing clouds.
2017-04-06,12 pm,2,18,54,55,Passing clouds.
2017-04-06,6 pm,13,8,45,54,Clear.
2017-04-07,12 am,14,2,34,43,Passing clouds.
